sku	mfg	supplier	price	description
F-261	ST-Lab	CDLOG	88.27	STLAB PCI-E Card Firewire 1394A 2+1 Ports (TI CHIP) + Ulead Software
F-360	ST-Lab	CDLOG	53.35	STLAB PCI-E Card Firewire 1934A (VIA) + Ulead Software
F-301	ST-Lab	CDLOG	168.78	STLAB PCI-E Card Firewire 1394B 2-Ports + 1394A 1-Port + 1394B Cable (TI Chipset) + Ulead Software
I-472	ST-Lab	CDLOG	252.2	STLAB PCI-E RS232 6 Ports
I-420	ST-Lab	CDLOG	53.35	STLAB PCI 2 Serial Ports + 1 Parallel Port
I-440	ST-Lab	CDLOG	176.54	STLAB PCI 4 Serial Ports + 1 Parallel Port
I-450	ST-Lab	CDLOG	214.37	STLAB PCI 6 Serial Ports
F-171	ST-Lab	CDLOG	236.68	STLAB PCI TI Chipset 1394b PCI Adaptor 1a+2b Ports w/1394b cable & Ulead SW
IPRPEX8	IPPON	CDLOG	92.15	1U PCI-Ex8 Riser Car
IPRPEX16	IPPON	CDLOG	106.7	1U PCI-Ex16 Riser Card
U-690	ST-Lab	CDLOG	95.06	STLAB USB 3.0 To SATA3 Adapter with one touch backup
U-740	ST-Lab	CDLOG	239.59	STLAB USB 3.0 To HDMI Adapter
U-790	ST-Lab	CDLOG	88.27	STLAB USB 3.0 To Gigabit LAN
S-280	ST-Lab	CDLOG	124.16	STLAB USB 3.0 HD Docking Station 3.5/2.5"
N-340	ST-Lab	CDLOG	123.19	STLAB USB 2.0 Print Server
U-224	ST-Lab	CDLOG	44.62	STLAB USB 2.0 To Srial Port RS-232 Cable
U-350	ST-Lab	CDLOG	42.68	STLAB USB 2.0 To Serial Port RS-232 Adapter
U-380	ST-Lab	CDLOG	77.6	STLAB USB 2.0 To Serial Port RS-232 + LPT
U-620	ST-Lab	CDLOG	263.84	STLAB USB 2.0 to Serial 8-Port RS232 adapter with PSU
IU-110	ST-Lab	CDLOG	123.19	STLAB USB 2.0 to RS422/RS485 X2 Adapter with speeds up to 1Mbps + Auto Detect and Switching
IU-120	ST-Lab	CDLOG	194	STLAB USB 2.0 to RS422/RS485 X4 Adapter with speeds up to 1Mbps + Auto Detect and Switching
U-390	ST-Lab	CDLOG	85.36	STLAB USB 2.0 to SATA 2 / PATA Adapter
U-470	ST-Lab	CDLOG	148.41	STLAB USB 2.0 to VGA Adapter
U-600	ST-Lab	CDLOG	206.61	STLAB USB 2.0 to HDMI Adapter
DUB-1340	D-LINK	CDLOG	183.33	4 ports USB 3.0 HUB, Multi-OS support SELF POWERED by power adaptor
DUB-1342	D-LINK	CDLOG	200.79	4 ports USB 3.0 HUB, Multi-OS support SELF POWERED With Card Reader (10 cm cable)
DUB-H7	D-LINK	CDLOG	88.27	7 ports USB 2.0 HUB, Multi-OS support SELF POWERED (up to 3A total !)
U-770	ST-Lab	CDLOG	129.98	STLAB USB 3.0 7-port HUB With External power adaptor 1M Cable
U-770B	ST-Lab	CDLOG	101.85	STLAB USB 3.0 7-port HUB + 1M Cable  (No power adaptor)
E-130	ST-Lab	CDLOG	106.7	STLAB USB 3.0 X2 3.5" Front panel + 5.25" adaptor + 1X USB 2.0 + Card Reader (SDHC,SDXC, Micro-SD with SD adaptor) 19pin connector
U-SM20	ST-Lab	CDLOG	97	STLAB SIM Card Reader /Manager Neutral BLISTER
ORACO-HUB03-CSA01	ARCTIC	CDLOG	16.49	ARCTIC Hub Turns a single USB port into 4 USB 2.0 ports
C-390	ST-Lab	CDLOG	151.32	STLAB PCMCIA To Express Card Adapter
C-430	ST-Lab	CDLOG	112.52	STLAB EXPRESS CARD To e-SATA Port Slim design
C-470	ST-Lab	CDLOG	85.36	STLAB EXPRESS CARD To USB3.0 2-Ports
C-291	ST-Lab	CDLOG	206.61	STLAB EXPRESS CARD To Firewire 1394B TI Chipset
C-350	ST-Lab	CDLOG	73.72	STLAB EXPRESS CARD Flash Card Reader
C-380	ST-Lab	CDLOG	174.6	STLAB EXPRESS CARD To PCMCIA Adapter
C-201	ST-Lab	CDLOG	123.19	STLAB EXPRESS CARD To Firewire 1394A TI Chipset
DVL0502-UUF0012-0056-1W	Divolight	CDLOG	1399.71	Street Light 60W IP65
DVL0502-UUF0013-0112-1w	Divolight	CDLOG	3239.8	Street Light 120W IP65
DVL0502-UUF0014-0168-1W	Divolight	CDLOG	4548.33	Street Light 180W IP65
DVL0502-UUF0015-0224-1W	Divolight	CDLOG	6045.04	Street Light 250W IP65
DVL0502-UUF0016-0060-1W	Divolight	CDLOG	1454.03	Street Light 60W IP66
DVL0502-UUF0017-0090-1W	Divolight	CDLOG	1830.39	Street Light 90W IP66
DVL0502-UUF0018-0120-1W	Divolight	CDLOG	2295.99	Street Light 120W IP66
DVL0502-UUF0019-0150-1W	Divolight	CDLOG	2574.38	Street Light 150W IP66
DVL0502-UUF0020-0180-1W	Divolight	CDLOG	3415.37	Street Light 180W IP66
DVL0502-UUF0021-0210-1W	Divolight	CDLOG	3725.77	Street Light 210W IP66
DVL0502-UUF0022-0240-1W	Divolight	CDLOG	4061.39	Street Light 240W IP66
DVL0530-UUF0001-0030-1W	Divolight	CDLOG	1294.95	Street Light 30W IP66
DVL0530-UUF0001-0060-1W	Divolight	CDLOG	1448.21	Street Light 60W IP66
DVL0530-UUF0001-0090-1W	Divolight	CDLOG	1617.96	Street Light 90W IP66
DVL0530-UUF0002-0045-1W	Divolight	CDLOG	1592.74	Street Light 45W IP66
DVL0530-UUF0002-0090-1W	Divolight	CDLOG	1849.79	Street Light 90W IP66
DVL0530-UUF0002-00120-1W	Divolight	CDLOG	1889.56	Street Light 120W IP66
DVL0530-UUF0003-0060-1W	Divolight	CDLOG	2038.94	Street Light 60W IP66
